vid_id,vid_channel_id,vid_deets,vid_response,title,publishedAt,tcomment_id,tcresponse,textDisplay,textOriginal,totalReplyCount,rep_comment,reply_id,comment,authorChannelId
g4QqJoox8tc,,,,,2022-11-02T04:01:53Z,UgxjeEkhSU4lZAfy5J14AaABAg,"{'kind': 'youtube#commentThread', 'etag': '5l5rHWjsGD_fFKC4vd0HyJVM1BQ', 'id': 'UgxjeEkhSU4lZAfy5J14AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'hMyS9k_V4f-9figSs2XWEUd9MxI', 'id': 'UgxjeEkhSU4lZAfy5J14AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': 'If exercise and/or the interaction with alcohol behaviors has really piqued your interest, make sure to check out my recent ""Sober October"" post series found on my Instagram: https://www.instagram.com/foundmyfitness Support the show as a premium member: https://www.foundmyfitness.com/crowdsponsor\n\nThanks for watching!', 'textOriginal': 'If exercise and/or the interaction with alcohol behaviors has really piqued your interest, make sure to check out my recent ""Sober October"" post series found on my Instagram: https://www.instagram.com/foundmyfitness Support the show as a premium member: https://www.foundmyfitness.com/crowdsponsor\n\nThanks for watching!', 'authorDisplayName': 'FoundMyFitness', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu--OjuXF9cRNG0II_ilUHG_3HHohYwVWeRLxNcWSA=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCWF8SqJVNlx-ctXbLswcTcA', 'authorChannelId': {'value': 'UCWF8SqJVNlx-ctXbLswcTcA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 17, 'publishedAt': '2022-11-02T04:01:53Z', 'updatedAt': '2022-11-02T04:03:11Z'}}, 'canReply': True, 'totalReplyCount': 2, 'isPublic': True}, 'replies': {'comments': [{'kind': 'youtube#comment', 'etag': 'hEBHEVqvAzMsVYzuuof_rUR3J_A', 'id': 'UgxjeEkhSU4lZAfy5J14AaABAg.9huxBdOoPGS9hxOiXW0kVn', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': 'Hi Rhonda, could this mean that ""one time"" phsychedelic treatments with e.g.: ayahuasca or psylocybin that show significant reduction in alcohol intake in patients could actually alter and ""clear"" FGF21 pathways?', 'textOriginal': 'Hi Rhonda, could this mean that ""one time"" phsychedelic treatments with e.g.: ayahuasca or psylocybin that show significant reduction in alcohol intake in patients could actually alter and ""clear"" FGF21 pathways?', 'parentId': 'UgxjeEkhSU4lZAfy5J14AaABAg', 'authorDisplayName': 'sperka', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu9yjFIu6Jhajr_bC1bLPGm10ETBGGEOHiFz=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtL4cnTx7UwPGOLbCocrF0g', 'authorChannelId': {'value': 'UCtL4cnTx7UwPGOLbCocrF0g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T02:49:39Z', 'updatedAt': '2022-11-03T02:49:39Z'}}, {'kind': 'youtube#comment', 'etag': 'mbdNzSWMAdGeJmqfnb2SaqaiFEA', 'id': 'UgxjeEkhSU4lZAfy5J14AaABAg.9huxBdOoPGS9hwEzTXy2dh', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': 'It’s a great series! Highly suggest 💪👏💓', 'textOriginal': 'It’s a great series! Highly suggest 💪👏💓', 'parentId': 'UgxjeEkhSU4lZAfy5J14AaABAg', 'authorDisplayName': 'Mama Bear Thrives', 'authorProfileImageUrl': 'https://yt3.ggpht.com/bjSJSkJsqu9bnm_-48mEvPOw9KlPHxbNNtYJMjl4KZeDSvlb4k_IkExXfCFNJrrZdBAI8KNC=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2JUD0EsoV1qMyvH9V0rVcg', 'authorChannelId': {'value': 'UC2JUD0EsoV1qMyvH9V0rVcg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T16:05:21Z', 'updatedAt': '2022-11-02T16:05:21Z'}}]}}","If exercise and/or the interaction with alcohol behaviors has really piqued your interest, make sure to check out my recent ""Sober October"" post series found on my Instagram: https://www.instagram.com/foundmyfitness Support the show as a premium member: https://www.foundmyfitness.com/crowdsponsor

Thanks for watching!","If exercise and/or the interaction with alcohol behaviors has really piqued your interest, make sure to check out my recent ""Sober October"" post series found on my Instagram: https://www.instagram.com/foundmyfitness Support the show as a premium member: https://www.foundmyfitness.com/crowdsponsor

Thanks for watching!",2.0,,,"If exercise and/or the interaction with alcohol behaviors has really piqued your interest, make sure to check out my recent ""Sober October"" post series found on my Instagram: https://www.instagram.com/foundmyfitness Support the show as a premium member: https://www.foundmyfitness.com/crowdsponsor\n\nThanks for watching!",UCWF8SqJVNlx-ctXbLswcTcA
g4QqJoox8tc,,,,,2022-11-03T02:49:39Z,,"{'kind': 'youtube#comment', 'etag': 'hEBHEVqvAzMsVYzuuof_rUR3J_A', 'id': 'UgxjeEkhSU4lZAfy5J14AaABAg.9huxBdOoPGS9hxOiXW0kVn', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': 'Hi Rhonda, could this mean that ""one time"" phsychedelic treatments with e.g.: ayahuasca or psylocybin that show significant reduction in alcohol intake in patients could actually alter and ""clear"" FGF21 pathways?', 'textOriginal': 'Hi Rhonda, could this mean that ""one time"" phsychedelic treatments with e.g.: ayahuasca or psylocybin that show significant reduction in alcohol intake in patients could actually alter and ""clear"" FGF21 pathways?', 'parentId': 'UgxjeEkhSU4lZAfy5J14AaABAg', 'authorDisplayName': 'sperka', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu9yjFIu6Jhajr_bC1bLPGm10ETBGGEOHiFz=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtL4cnTx7UwPGOLbCocrF0g', 'authorChannelId': {'value': 'UCtL4cnTx7UwPGOLbCocrF0g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T02:49:39Z', 'updatedAt': '2022-11-03T02:49:39Z'}}","Hi Rhonda, could this mean that ""one time"" phsychedelic treatments with e.g.: ayahuasca or psylocybin that show significant reduction in alcohol intake in patients could actually alter and ""clear"" FGF21 pathways?","Hi Rhonda, could this mean that ""one time"" phsychedelic treatments with e.g.: ayahuasca or psylocybin that show significant reduction in alcohol intake in patients could actually alter and ""clear"" FGF21 pathways?",,"{'kind': 'youtube#comment', 'etag': 'hEBHEVqvAzMsVYzuuof_rUR3J_A', 'id': 'UgxjeEkhSU4lZAfy5J14AaABAg.9huxBdOoPGS9hxOiXW0kVn', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': 'Hi Rhonda, could this mean that ""one time"" phsychedelic treatments with e.g.: ayahuasca or psylocybin that show significant reduction in alcohol intake in patients could actually alter and ""clear"" FGF21 pathways?', 'textOriginal': 'Hi Rhonda, could this mean that ""one time"" phsychedelic treatments with e.g.: ayahuasca or psylocybin that show significant reduction in alcohol intake in patients could actually alter and ""clear"" FGF21 pathways?', 'parentId': 'UgxjeEkhSU4lZAfy5J14AaABAg', 'authorDisplayName': 'sperka', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu9yjFIu6Jhajr_bC1bLPGm10ETBGGEOHiFz=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCtL4cnTx7UwPGOLbCocrF0g', 'authorChannelId': {'value': 'UCtL4cnTx7UwPGOLbCocrF0g'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-03T02:49:39Z', 'updatedAt': '2022-11-03T02:49:39Z'}}",UgxjeEkhSU4lZAfy5J14AaABAg.9huxBdOoPGS9hxOiXW0kVn,"Hi Rhonda, could this mean that ""one time"" phsychedelic treatments with e.g.: ayahuasca or psylocybin that show significant reduction in alcohol intake in patients could actually alter and ""clear"" FGF21 pathways?",UCtL4cnTx7UwPGOLbCocrF0g
g4QqJoox8tc,,,,,2022-11-02T16:05:21Z,,"{'kind': 'youtube#comment', 'etag': 'mbdNzSWMAdGeJmqfnb2SaqaiFEA', 'id': 'UgxjeEkhSU4lZAfy5J14AaABAg.9huxBdOoPGS9hwEzTXy2dh', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': 'It’s a great series! Highly suggest 💪👏💓', 'textOriginal': 'It’s a great series! Highly suggest 💪👏💓', 'parentId': 'UgxjeEkhSU4lZAfy5J14AaABAg', 'authorDisplayName': 'Mama Bear Thrives', 'authorProfileImageUrl': 'https://yt3.ggpht.com/bjSJSkJsqu9bnm_-48mEvPOw9KlPHxbNNtYJMjl4KZeDSvlb4k_IkExXfCFNJrrZdBAI8KNC=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2JUD0EsoV1qMyvH9V0rVcg', 'authorChannelId': {'value': 'UC2JUD0EsoV1qMyvH9V0rVcg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T16:05:21Z', 'updatedAt': '2022-11-02T16:05:21Z'}}",It’s a great series! Highly suggest 💪👏💓,It’s a great series! Highly suggest 💪👏💓,,"{'kind': 'youtube#comment', 'etag': 'mbdNzSWMAdGeJmqfnb2SaqaiFEA', 'id': 'UgxjeEkhSU4lZAfy5J14AaABAg.9huxBdOoPGS9hwEzTXy2dh', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': 'It’s a great series! Highly suggest 💪👏💓', 'textOriginal': 'It’s a great series! Highly suggest 💪👏💓', 'parentId': 'UgxjeEkhSU4lZAfy5J14AaABAg', 'authorDisplayName': 'Mama Bear Thrives', 'authorProfileImageUrl': 'https://yt3.ggpht.com/bjSJSkJsqu9bnm_-48mEvPOw9KlPHxbNNtYJMjl4KZeDSvlb4k_IkExXfCFNJrrZdBAI8KNC=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC2JUD0EsoV1qMyvH9V0rVcg', 'authorChannelId': {'value': 'UC2JUD0EsoV1qMyvH9V0rVcg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-02T16:05:21Z', 'updatedAt': '2022-11-02T16:05:21Z'}}",UgxjeEkhSU4lZAfy5J14AaABAg.9huxBdOoPGS9hwEzTXy2dh,It’s a great series! Highly suggest 💪👏💓,UC2JUD0EsoV1qMyvH9V0rVcg
g4QqJoox8tc,,,,,2022-11-22T12:17:04Z,UgwWzgdaQ0ys5JQLNvh4AaABAg,"{'kind': 'youtube#commentThread', 'etag': 'S5sP7Ek3ZtBmnpsltMaxoBTlkBc', 'id': 'UgwWzgdaQ0ys5JQLNvh4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '1ML_aha6AJF0Fz3TH3O65RcUjDU', 'id': 'UgwWzgdaQ0ys5JQLNvh4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': 'Not easy if you play hockey', 'textOriginal': 'Not easy if you play hockey', 'authorDisplayName': 'Wong Gretzky', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu9BcQqEHXhTCOeWQMPDIVLxBqve7W9kqjXU2-kP=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCvowjPWd-qWpvWwn8YsxSlw', 'authorChannelId': {'value': 'UCvowjPWd-qWpvWwn8YsxSlw'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-22T12:17:04Z', 'updatedAt': '2022-11-22T12:17:04Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}}",Not easy if you play hockey,Not easy if you play hockey,0.0,,,Not easy if you play hockey,UCvowjPWd-qWpvWwn8YsxSlw
g4QqJoox8tc,,,,,2022-11-20T16:47:10Z,Ugzslcv1AH0HuZIzmUF4AaABAg,"{'kind': 'youtube#commentThread', 'etag': 'ZrtV5MfczWtwAeOEDjTJobjeotw', 'id': 'Ugzslcv1AH0HuZIzmUF4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'xMYAmtHkSyg4RRqBfOCF6bNajrk', 'id': 'Ugzslcv1AH0HuZIzmUF4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': 'Thank you for presenting this information.  \nI have found this to be true.', 'textOriginal': 'Thank you for presenting this information.  \nI have found this to be true.', 'authorDisplayName': 'Brandon R.', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu85reIXoz1YSpSBZ9eUav8Tj-Btb6lghQG7aiqe=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCqzDbk4tnSBHeNfXApGJVcQ', 'authorChannelId': {'value': 'UCqzDbk4tnSBHeNfXApGJVcQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-20T16:47:10Z', 'updatedAt': '2022-11-20T16:47:10Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}}","Thank you for presenting this information.  
I have found this to be true.","Thank you for presenting this information.  
I have found this to be true.",0.0,,,Thank you for presenting this information.  \nI have found this to be true.,UCqzDbk4tnSBHeNfXApGJVcQ
g4QqJoox8tc,,,,,2022-11-19T15:10:14Z,UgwoHinZQDIh5p6Td2l4AaABAg,"{'kind': 'youtube#commentThread', 'etag': 'G_sOeJTYaPEWBAOTI-FhcpgHEj8', 'id': 'UgwoHinZQDIh5p6Td2l4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'Gzu5FxgQtvzvBQtmRZKLtw1o0xc', 'id': 'UgwoHinZQDIh5p6Td2l4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': ""Dr rhonda what do you think of Webber naturals omega 3's? are they any good? a reply would be amazing thanks!"", 'textOriginal': ""Dr rhonda what do you think of Webber naturals omega 3's? are they any good? a reply would be amazing thanks!"", 'authorDisplayName': 'Danklin', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu8D6ilqIFImC7KR2keEtGfm6FIXkydoReug6Wf6=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC-jkjiUL6RYwx37dnfZG3cg', 'authorChannelId': {'value': 'UC-jkjiUL6RYwx37dnfZG3cg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-19T15:10:14Z', 'updatedAt': '2022-11-19T15:10:14Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}}",Dr rhonda what do you think of Webber naturals omega 3's? are they any good? a reply would be amazing thanks!,Dr rhonda what do you think of Webber naturals omega 3's? are they any good? a reply would be amazing thanks!,0.0,,,Dr rhonda what do you think of Webber naturals omega 3's? are they any good? a reply would be amazing thanks!,UC-jkjiUL6RYwx37dnfZG3cg
g4QqJoox8tc,,,,,2022-11-16T17:06:54Z,UgyEVz1JULP-TuciGs54AaABAg,"{'kind': 'youtube#commentThread', 'etag': 'kqec4bP9mRaCfSqoSzBP6ryazjI', 'id': 'UgyEVz1JULP-TuciGs54AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': '0lhCfVrQ_6c0JuyFoSE0DMB9h5M', 'id': 'UgyEVz1JULP-TuciGs54AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': ""Thank you so much for researching, organizing, and presenting this fantastic data.  I wonder if the FGF21 circuit can be also implied to other addictive behaviors, such as pornography, binge watching TV, gambling, etc.  Is FGF21's benefit only applicable to alcohol or just that the data/research was done with alcohol.  Or does it effect that dopagenic systems and increase activity in  prefrontal cortex during addictive behaviors in a way where we can make better/wiser decisions.  I would also love to learn the suggested amount of exercise.  For example the cycle/weight train study didn't specify how long the research participants biked for.  I heard Dr. Huberman mention in his recent Happiness podcast, I think it was in that one, that 150-180 min of level 2(70% +- vo2 max) workout is beneficial.  Again thank you so much for your work!!  You are changing the world!   💙"", 'textOriginal': ""Thank you so much for researching, organizing, and presenting this fantastic data.  I wonder if the FGF21 circuit can be also implied to other addictive behaviors, such as pornography, binge watching TV, gambling, etc.  Is FGF21's benefit only applicable to alcohol or just that the data/research was done with alcohol.  Or does it effect that dopagenic systems and increase activity in  prefrontal cortex during addictive behaviors in a way where we can make better/wiser decisions.  I would also love to learn the suggested amount of exercise.  For example the cycle/weight train study didn't specify how long the research participants biked for.  I heard Dr. Huberman mention in his recent Happiness podcast, I think it was in that one, that 150-180 min of level 2(70% +- vo2 max) workout is beneficial.  Again thank you so much for your work!!  You are changing the world!   💙"", 'authorDisplayName': 'クリスの部屋', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu_BxiOAZ1KFLzLT4MqvFwL7HmdzaJC_Cx0pDv8X=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCfqRMJrg010qS35Kj_dhuKA', 'authorChannelId': {'value': 'UCfqRMJrg010qS35Kj_dhuKA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-16T17:06:54Z', 'updatedAt': '2022-11-16T17:06:54Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}}","Thank you so much for researching, organizing, and presenting this fantastic data.  I wonder if the FGF21 circuit can be also implied to other addictive behaviors, such as pornography, binge watching TV, gambling, etc.  Is FGF21's benefit only applicable to alcohol or just that the data/research was done with alcohol.  Or does it effect that dopagenic systems and increase activity in  prefrontal cortex during addictive behaviors in a way where we can make better/wiser decisions.  I would also love to learn the suggested amount of exercise.  For example the cycle/weight train study didn't specify how long the research participants biked for.  I heard Dr. Huberman mention in his recent Happiness podcast, I think it was in that one, that 150-180 min of level 2(70% +- vo2 max) workout is beneficial.  Again thank you so much for your work!!  You are changing the world!   💙","Thank you so much for researching, organizing, and presenting this fantastic data.  I wonder if the FGF21 circuit can be also implied to other addictive behaviors, such as pornography, binge watching TV, gambling, etc.  Is FGF21's benefit only applicable to alcohol or just that the data/research was done with alcohol.  Or does it effect that dopagenic systems and increase activity in  prefrontal cortex during addictive behaviors in a way where we can make better/wiser decisions.  I would also love to learn the suggested amount of exercise.  For example the cycle/weight train study didn't specify how long the research participants biked for.  I heard Dr. Huberman mention in his recent Happiness podcast, I think it was in that one, that 150-180 min of level 2(70% +- vo2 max) workout is beneficial.  Again thank you so much for your work!!  You are changing the world!   💙",0.0,,,"Thank you so much for researching, organizing, and presenting this fantastic data.  I wonder if the FGF21 circuit can be also implied to other addictive behaviors, such as pornography, binge watching TV, gambling, etc.  Is FGF21's benefit only applicable to alcohol or just that the data/research was done with alcohol.  Or does it effect that dopagenic systems and increase activity in  prefrontal cortex during addictive behaviors in a way where we can make better/wiser decisions.  I would also love to learn the suggested amount of exercise.  For example the cycle/weight train study didn't specify how long the research participants biked for.  I heard Dr. Huberman mention in his recent Happiness podcast, I think it was in that one, that 150-180 min of level 2(70% +- vo2 max) workout is beneficial.  Again thank you so much for your work!!  You are changing the world!   💙",UCfqRMJrg010qS35Kj_dhuKA
g4QqJoox8tc,,,,,2022-11-16T03:37:24Z,Ugz57wD5KKrUKLvkgzJ4AaABAg,"{'kind': 'youtube#commentThread', 'etag': 'qtXJoviKZf6ryHoi-h0Q8aUYPCI', 'id': 'Ugz57wD5KKrUKLvkgzJ4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'HaJX6EQCz9EAPMBBVjyhEO_U0EI', 'id': 'Ugz57wD5KKrUKLvkgzJ4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': ""Didn't know about this, but I'm a living anecdote"", 'textOriginal': ""Didn't know about this, but I'm a living anecdote"", 'authorDisplayName': 'ElectricIguana', 'authorProfileImageUrl': 'https://yt3.ggpht.com/qGXX3h_gCdLuKJp0aA0tOtfkl8RQWt_O2ZzbmT19gTBJPstzKsKK3JR0AYTp5iAWSNqPg9Ky_VM=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCuoCBdB49CRjCA0eDapCNUQ', 'authorChannelId': {'value': 'UCuoCBdB49CRjCA0eDapCNUQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-16T03:37:24Z', 'updatedAt': '2022-11-16T03:37:24Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}}","Didn't know about this, but I'm a living anecdote","Didn't know about this, but I'm a living anecdote",0.0,,,"Didn't know about this, but I'm a living anecdote",UCuoCBdB49CRjCA0eDapCNUQ
g4QqJoox8tc,,,,,2022-11-14T23:34:31Z,UgyCD5UpPRSQK6u6xj54AaABAg,"{'kind': 'youtube#commentThread', 'etag': 'I9Q2-tJdM8P_pi2UN9M2FVQjFqI', 'id': 'UgyCD5UpPRSQK6u6xj54AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'M1ki8ck_UXoutlY1w44K7jurAso', 'id': 'UgyCD5UpPRSQK6u6xj54AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': ""When I was in my 20's and early 30's, I would binge drink during some get together with friends. Sometimes I even craved a beer or wine, during weekends, however I did notice that the times that I would be in the gym (on and off during those years), my craving for alcohol just wasn't there."", 'textOriginal': ""When I was in my 20's and early 30's, I would binge drink during some get together with friends. Sometimes I even craved a beer or wine, during weekends, however I did notice that the times that I would be in the gym (on and off during those years), my craving for alcohol just wasn't there."", 'authorDisplayName': 'Mike Tyson', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu-T4YegM96Zn0kx9CVI_lX49Vu8QB1euvMuzQ=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCYsfvDx5JTvWL1SmadF-fWg', 'authorChannelId': {'value': 'UCYsfvDx5JTvWL1SmadF-fWg'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-14T23:34:31Z', 'updatedAt': '2022-11-14T23:34:31Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}}","When I was in my 20's and early 30's, I would binge drink during some get together with friends. Sometimes I even craved a beer or wine, during weekends, however I did notice that the times that I would be in the gym (on and off during those years), my craving for alcohol just wasn't there.","When I was in my 20's and early 30's, I would binge drink during some get together with friends. Sometimes I even craved a beer or wine, during weekends, however I did notice that the times that I would be in the gym (on and off during those years), my craving for alcohol just wasn't there.",0.0,,,"When I was in my 20's and early 30's, I would binge drink during some get together with friends. Sometimes I even craved a beer or wine, during weekends, however I did notice that the times that I would be in the gym (on and off during those years), my craving for alcohol just wasn't there.",UCYsfvDx5JTvWL1SmadF-fWg
g4QqJoox8tc,,,,,2022-11-14T18:28:44Z,UgwMRkZoqZoJxDbC0pp4AaABAg,"{'kind': 'youtube#commentThread', 'etag': 'LBjKuJve37GqAz610CqOsuTPwZ0', 'id': 'UgwMRkZoqZoJxDbC0pp4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'topLevelComment': {'kind': 'youtube#comment', 'etag': 'dnlixmkQz0BxcQSNqDD-2RqNQy0', 'id': 'UgwMRkZoqZoJxDbC0pp4AaABAg', 'snippet': {'videoId': 'g4QqJoox8tc', 'textDisplay': ""nicotinamide riboside please Dr Rhonda break it down for us layman's on the new study that it causes cancer. How do we avoid it scary stuff."", 'textOriginal': ""nicotinamide riboside please Dr Rhonda break it down for us layman's on the new study that it causes cancer. How do we avoid it scary stuff."", 'authorDisplayName': 'Earl Stevens', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AMLnZu-uG2reIv40OOXRnP32wdDueoEEuPKxF3nvgVUH=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UC3SJ99jv7cioOpbEcJUln8w', 'authorChannelId': {'value': 'UC3SJ99jv7cioOpbEcJUln8w'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2022-11-14T18:28:44Z', 'updatedAt': '2022-11-14T18:28:44Z'}}, 'canReply': True, 'totalReplyCount': 0, 'isPublic': True}}",nicotinamide riboside please Dr Rhonda break it down for us layman's on the new study that it causes cancer. How do we avoid it scary stuff.,nicotinamide riboside please Dr Rhonda break it down for us layman's on the new study that it causes cancer. How do we avoid it scary stuff.,0.0,,,nicotinamide riboside please Dr Rhonda break it down for us layman's on the new study that it causes cancer. How do we avoid it scary stuff.,UC3SJ99jv7cioOpbEcJUln8w
